nohup: ignoring input
***************** properties *****************
"scanproportion"="0"
"workload"="core"
"readallfields"="true"
"insertproportion"="0"
"recordcount"="10000000"
"expected_ops"="2000"
"mysql.port"="4000"
"fieldlength"="600"
"dotransactions"="true"
"timedistribution"="meituanupdate"
"readmodifywriteproportion"="0"
"readproportion"="0"
"real_delay"="3000"
"timeperiod"="30"
"noiseratio"="0.1"
"fieldcount"="2"
"mysql.host"="10.233.63.103"
"requestdistribution"="uniform"
"threadcount"="8"
"table"="table1"
"updateproportion"="1"
"hotspotopnfraction"="0.8"
"maxscanlength"="100"
"writeallfields"="true"
"period_in_time"="true"
"scanlengthdistribution"="uniform"
"hotspotdatafraction"="0.2"
"operationcount"="1000000000000"
**********************************************
UPDATE - Takes(s): 300.0, Count: 142148, OPS: 473.8, Avg(us): 5363, Min(us): 3264, Max(us): 1395700, 99th(us): 9000, 99.9th(us): 58000, 99.99th(us): 559000
UPDATE - Takes(s): 310.0, Count: 150521, OPS: 485.6, Avg(us): 5333, Min(us): 3264, Max(us): 1395700, 99th(us): 9000, 99.9th(us): 58000, 99.99th(us): 559000
UPDATE - Takes(s): 320.0, Count: 158927, OPS: 496.7, Avg(us): 5303, Min(us): 3264, Max(us): 1395700, 99th(us): 9000, 99.9th(us): 56000, 99.99th(us): 559000
UPDATE - Takes(s): 330.0, Count: 165432, OPS: 501.3, Avg(us): 5348, Min(us): 3264, Max(us): 1395700, 99th(us): 9000, 99.9th(us): 79000, 99.99th(us): 559000
UPDATE - Takes(s): 340.0, Count: 173430, OPS: 510.1, Avg(us): 5333, Min(us): 3264, Max(us): 1395700, 99th(us): 9000, 99.9th(us): 76000, 99.99th(us): 537000
UPDATE - Takes(s): 350.0, Count: 181887, OPS: 519.7, Avg(us): 5304, Min(us): 3070, Max(us): 1395700, 99th(us): 9000, 99.9th(us): 75000, 99.99th(us): 537000
UPDATE - Takes(s): 360.0, Count: 190314, OPS: 528.7, Avg(us): 5279, Min(us): 3070, Max(us): 1395700, 99th(us): 9000, 99.9th(us): 70000, 99.99th(us): 537000
UPDATE - Takes(s): 370.0, Count: 199191, OPS: 538.4, Avg(us): 5258, Min(us): 3070, Max(us): 1395700, 99th(us): 9000, 99.9th(us): 58000, 99.99th(us): 537000
UPDATE - Takes(s): 380.0, Count: 208131, OPS: 547.7, Avg(us): 5235, Min(us): 3070, Max(us): 1395700, 99th(us): 9000, 99.9th(us): 57000, 99.99th(us): 537000
UPDATE - Takes(s): 390.0, Count: 217074, OPS: 556.6, Avg(us): 5214, Min(us): 3070, Max(us): 1395700, 99th(us): 9000, 99.9th(us): 56000, 99.99th(us): 537000
UPDATE - Takes(s): 400.0, Count: 226013, OPS: 565.0, Avg(us): 5195, Min(us): 3070, Max(us): 1395700, 99th(us): 8000, 99.9th(us): 52000, 99.99th(us): 536000
UPDATE - Takes(s): 410.0, Count: 234994, OPS: 573.2, Avg(us): 5176, Min(us): 3070, Max(us): 1395700, 99th(us): 8000, 99.9th(us): 49000, 99.99th(us): 529000
UPDATE - Takes(s): 420.0, Count: 243948, OPS: 580.8, Avg(us): 5159, Min(us): 3070, Max(us): 1395700, 99th(us): 8000, 99.9th(us): 48000, 99.99th(us): 529000
UPDATE - Takes(s): 430.0, Count: 252535, OPS: 587.3, Avg(us): 5146, Min(us): 3070, Max(us): 1395700, 99th(us): 8000, 99.9th(us): 45000, 99.99th(us): 529000
UPDATE - Takes(s): 440.0, Count: 261226, OPS: 593.7, Avg(us): 5131, Min(us): 3070, Max(us): 1395700, 99th(us): 8000, 99.9th(us): 42000, 99.99th(us): 528000
UPDATE - Takes(s): 450.0, Count: 269861, OPS: 599.7, Avg(us): 5118, Min(us): 3070, Max(us): 1395700, 99th(us): 8000, 99.9th(us): 39000, 99.99th(us): 528000
UPDATE - Takes(s): 460.0, Count: 274869, OPS: 597.6, Avg(us): 5167, Min(us): 3070, Max(us): 1395700, 99th(us): 8000, 99.9th(us): 55000, 99.99th(us): 536000
UPDATE - Takes(s): 470.0, Count: 283514, OPS: 603.2, Avg(us): 5153, Min(us): 3070, Max(us): 1395700, 99th(us): 8000, 99.9th(us): 50000, 99.99th(us): 529000
UPDATE - Takes(s): 480.0, Count: 292162, OPS: 608.7, Avg(us): 5141, Min(us): 3070, Max(us): 1395700, 99th(us): 8000, 99.9th(us): 49000, 99.99th(us): 529000
UPDATE - Takes(s): 490.0, Count: 301377, OPS: 615.1, Avg(us): 5126, Min(us): 3070, Max(us): 1395700, 99th(us): 8000, 99.9th(us): 47000, 99.99th(us): 529000
UPDATE - Takes(s): 500.0, Count: 310642, OPS: 621.3, Avg(us): 5111, Min(us): 3070, Max(us): 1395700, 99th(us): 8000, 99.9th(us): 42000, 99.99th(us): 526000
UPDATE - Takes(s): 510.0, Count: 319879, OPS: 627.2, Avg(us): 5098, Min(us): 3070, Max(us): 1395700, 99th(us): 8000, 99.9th(us): 41000, 99.99th(us): 528000
UPDATE - Takes(s): 520.0, Count: 329152, OPS: 633.0, Avg(us): 5084, Min(us): 3070, Max(us): 1395700, 99th(us): 8000, 99.9th(us): 38000, 99.99th(us): 526000
UPDATE - Takes(s): 530.0, Count: 338397, OPS: 638.5, Avg(us): 5072, Min(us): 3070, Max(us): 1395700, 99th(us): 8000, 99.9th(us): 37000, 99.99th(us): 526000
UPDATE - Takes(s): 540.0, Count: 347638, OPS: 643.8, Avg(us): 5061, Min(us): 3070, Max(us): 1395700, 99th(us): 8000, 99.9th(us): 36000, 99.99th(us): 525000
UPDATE - Takes(s): 550.0, Count: 356247, OPS: 647.7, Avg(us): 5052, Min(us): 3070, Max(us): 1395700, 99th(us): 8000, 99.9th(us): 33000, 99.99th(us): 516000
UPDATE - Takes(s): 560.0, Count: 364872, OPS: 651.6, Avg(us): 5043, Min(us): 3070, Max(us): 1395700, 99th(us): 8000, 99.9th(us): 30000, 99.99th(us): 465000
UPDATE - Takes(s): 570.0, Count: 373445, OPS: 655.2, Avg(us): 5036, Min(us): 3070, Max(us): 1395700, 99th(us): 8000, 99.9th(us): 29000, 99.99th(us): 458000
UPDATE - Takes(s): 580.1, Count: 380169, OPS: 655.3, Avg(us): 5052, Min(us): 3070, Max(us): 1395700, 99th(us): 8000, 99.9th(us): 40000, 99.99th(us): 458000
UPDATE - Takes(s): 590.0, Count: 387297, OPS: 656.4, Avg(us): 5061, Min(us): 3070, Max(us): 1395700, 99th(us): 8000, 99.9th(us): 42000, 99.99th(us): 458000
UPDATE - Takes(s): 600.0, Count: 395869, OPS: 659.8, Avg(us): 5054, Min(us): 3070, Max(us): 1395700, 99th(us): 8000, 99.9th(us): 41000, 99.99th(us): 458000
UPDATE - Takes(s): 610.0, Count: 404430, OPS: 663.0, Avg(us): 5050, Min(us): 3070, Max(us): 1395700, 99th(us): 8000, 99.9th(us): 39000, 99.99th(us): 429000
UPDATE - Takes(s): 620.0, Count: 413073, OPS: 666.3, Avg(us): 5045, Min(us): 3070, Max(us): 1395700, 99th(us): 8000, 99.9th(us): 38000, 99.99th(us): 427000
UPDATE - Takes(s): 630.0, Count: 421725, OPS: 669.4, Avg(us): 5039, Min(us): 3070, Max(us): 1395700, 99th(us): 8000, 99.9th(us): 37000, 99.99th(us): 426000
UPDATE - Takes(s): 640.0, Count: 430388, OPS: 672.5, Avg(us): 5033, Min(us): 3070, Max(us): 1395700, 99th(us): 8000, 99.9th(us): 36000, 99.99th(us): 406000
UPDATE - Takes(s): 650.0, Count: 438941, OPS: 675.3, Avg(us): 5030, Min(us): 3070, Max(us): 1395700, 99th(us): 8000, 99.9th(us): 33000, 99.99th(us): 408000
UPDATE - Takes(s): 660.0, Count: 447454, OPS: 678.0, Avg(us): 5028, Min(us): 3070, Max(us): 1395700, 99th(us): 8000, 99.9th(us): 31000, 99.99th(us): 406000
UPDATE - Takes(s): 670.0, Count: 454869, OPS: 678.9, Avg(us): 5030, Min(us): 3070, Max(us): 1395700, 99th(us): 8000, 99.9th(us): 30000, 99.99th(us): 390000
UPDATE - Takes(s): 680.0, Count: 462473, OPS: 680.1, Avg(us): 5028, Min(us): 3070, Max(us): 1395700, 99th(us): 8000, 99.9th(us): 30000, 99.99th(us): 390000
UPDATE - Takes(s): 690.0, Count: 470025, OPS: 681.2, Avg(us): 5027, Min(us): 3070, Max(us): 1395700, 99th(us): 8000, 99.9th(us): 29000, 99.99th(us): 389000
UPDATE - Takes(s): 700.0, Count: 477587, OPS: 682.3, Avg(us): 5025, Min(us): 3070, Max(us): 1395700, 99th(us): 8000, 99.9th(us): 29000, 99.99th(us): 389000
UPDATE - Takes(s): 710.0, Count: 481633, OPS: 678.4, Avg(us): 5067, Min(us): 3070, Max(us): 1395700, 99th(us): 8000, 99.9th(us): 38000, 99.99th(us): 533000
UPDATE - Takes(s): 720.0, Count: 489211, OPS: 679.5, Avg(us): 5065, Min(us): 3070, Max(us): 1395700, 99th(us): 8000, 99.9th(us): 38000, 99.99th(us): 533000
UPDATE - Takes(s): 730.0, Count: 496422, OPS: 680.0, Avg(us): 5065, Min(us): 3070, Max(us): 1395700, 99th(us): 8000, 99.9th(us): 38000, 99.99th(us): 529000
UPDATE - Takes(s): 740.0, Count: 503767, OPS: 680.8, Avg(us): 5063, Min(us): 3070, Max(us): 1395700, 99th(us): 8000, 99.9th(us): 37000, 99.99th(us): 529000
UPDATE - Takes(s): 750.0, Count: 511022, OPS: 681.4, Avg(us): 5062, Min(us): 3070, Max(us): 1395700, 99th(us): 8000, 99.9th(us): 35000, 99.99th(us): 528000
UPDATE - Takes(s): 760.0, Count: 518375, OPS: 682.1, Avg(us): 5060, Min(us): 3070, Max(us): 1395700, 99th(us): 8000, 99.9th(us): 33000, 99.99th(us): 529000
UPDATE - Takes(s): 770.0, Count: 525694, OPS: 682.7, Avg(us): 5058, Min(us): 3070, Max(us): 1395700, 99th(us): 8000, 99.9th(us): 31000, 99.99th(us): 528000
UPDATE - Takes(s): 780.0, Count: 533032, OPS: 683.4, Avg(us): 5055, Min(us): 3070, Max(us): 1395700, 99th(us): 8000, 99.9th(us): 30000, 99.99th(us): 526000
UPDATE - Takes(s): 790.0, Count: 540835, OPS: 684.6, Avg(us): 5052, Min(us): 3070, Max(us): 1395700, 99th(us): 8000, 99.9th(us): 30000, 99.99th(us): 526000
UPDATE - Takes(s): 800.0, Count: 548616, OPS: 685.8, Avg(us): 5048, Min(us): 3070, Max(us): 1395700, 99th(us): 8000, 99.9th(us): 29000, 99.99th(us): 526000
UPDATE - Takes(s): 810.0, Count: 556366, OPS: 686.9, Avg(us): 5046, Min(us): 3070, Max(us): 1395700, 99th(us): 8000, 99.9th(us): 29000, 99.99th(us): 458000
UPDATE - Takes(s): 820.0, Count: 564151, OPS: 688.0, Avg(us): 5042, Min(us): 3070, Max(us): 1395700, 99th(us): 8000, 99.9th(us): 29000, 99.99th(us): 523000
UPDATE - Takes(s): 831.0, Count: 570047, OPS: 686.0, Avg(us): 5060, Min(us): 3070, Max(us): 1395700, 99th(us): 8000, 99.9th(us): 35000, 99.99th(us): 523000
UPDATE - Takes(s): 840.0, Count: 576011, OPS: 685.7, Avg(us): 5092, Min(us): 3070, Max(us): 2641039, 99th(us): 8000, 99.9th(us): 35000, 99.99th(us): 529000
UPDATE - Takes(s): 850.0, Count: 583709, OPS: 686.7, Avg(us): 5088, Min(us): 3070, Max(us): 2641039, 99th(us): 8000, 99.9th(us): 33000, 99.99th(us): 529000
UPDATE - Takes(s): 860.0, Count: 591376, OPS: 687.7, Avg(us): 5085, Min(us): 3070, Max(us): 2641039, 99th(us): 8000, 99.9th(us): 31000, 99.99th(us): 529000
UPDATE - Takes(s): 870.0, Count: 599006, OPS: 688.5, Avg(us): 5082, Min(us): 3070, Max(us): 2641039, 99th(us): 8000, 99.9th(us): 31000, 99.99th(us): 529000
UPDATE - Takes(s): 880.0, Count: 606614, OPS: 689.3, Avg(us): 5080, Min(us): 3070, Max(us): 2641039, 99th(us): 8000, 99.9th(us): 30000, 99.99th(us): 529000
UPDATE - Takes(s): 890.0, Count: 614308, OPS: 690.2, Avg(us): 5076, Min(us): 3070, Max(us): 2641039, 99th(us): 8000, 99.9th(us): 30000, 99.99th(us): 528000
UPDATE - Takes(s): 900.0, Count: 621970, OPS: 691.1, Avg(us): 5074, Min(us): 3070, Max(us): 2641039, 99th(us): 8000, 99.9th(us): 29000, 99.99th(us): 526000
UPDATE - Takes(s): 910.0, Count: 629689, OPS: 692.0, Avg(us): 5071, Min(us): 3070, Max(us): 2641039, 99th(us): 8000, 99.9th(us): 29000, 99.99th(us): 526000
UPDATE - Takes(s): 920.0, Count: 637408, OPS: 692.8, Avg(us): 5068, Min(us): 3070, Max(us): 2641039, 99th(us): 8000, 99.9th(us): 29000, 99.99th(us): 526000
UPDATE - Takes(s): 930.0, Count: 645130, OPS: 693.7, Avg(us): 5066, Min(us): 3070, Max(us): 2641039, 99th(us): 8000, 99.9th(us): 28000, 99.99th(us): 525000
UPDATE - Takes(s): 940.0, Count: 652876, OPS: 694.6, Avg(us): 5063, Min(us): 3070, Max(us): 2641039, 99th(us): 8000, 99.9th(us): 28000, 99.99th(us): 523000
UPDATE - Takes(s): 950.0, Count: 660632, OPS: 695.4, Avg(us): 5060, Min(us): 3070, Max(us): 2641039, 99th(us): 8000, 99.9th(us): 28000, 99.99th(us): 516000
UPDATE - Takes(s): 960.0, Count: 665950, OPS: 693.7, Avg(us): 5079, Min(us): 3070, Max(us): 2641039, 99th(us): 8000, 99.9th(us): 29000, 99.99th(us): 533000
UPDATE - Takes(s): 970.0, Count: 673553, OPS: 694.4, Avg(us): 5077, Min(us): 3070, Max(us): 2641039, 99th(us): 8000, 99.9th(us): 29000, 99.99th(us): 529000
UPDATE - Takes(s): 980.0, Count: 681139, OPS: 695.0, Avg(us): 5074, Min(us): 3070, Max(us): 2641039, 99th(us): 8000, 99.9th(us): 29000, 99.99th(us): 529000
UPDATE - Takes(s): 990.0, Count: 688696, OPS: 695.7, Avg(us): 5072, Min(us): 3070, Max(us): 2641039, 99th(us): 8000, 99.9th(us): 28000, 99.99th(us): 529000
UPDATE - Takes(s): 1000.0, Count: 696263, OPS: 696.3, Avg(us): 5070, Min(us): 3070, Max(us): 2641039, 99th(us): 8000, 99.9th(us): 28000, 99.99th(us): 529000
UPDATE - Takes(s): 1010.0, Count: 703850, OPS: 696.9, Avg(us): 5067, Min(us): 3070, Max(us): 2641039, 99th(us): 8000, 99.9th(us): 28000, 99.99th(us): 528000
UPDATE - Takes(s): 1020.0, Count: 711372, OPS: 697.4, Avg(us): 5066, Min(us): 3070, Max(us): 2641039, 99th(us): 8000, 99.9th(us): 28000, 99.99th(us): 526000
UPDATE - Takes(s): 1030.0, Count: 718803, OPS: 697.9, Avg(us): 5064, Min(us): 3070, Max(us): 2641039, 99th(us): 8000, 99.9th(us): 27000, 99.99th(us): 526000
UPDATE - Takes(s): 1040.0, Count: 726314, OPS: 698.4, Avg(us): 5062, Min(us): 3070, Max(us): 2641039, 99th(us): 8000, 99.9th(us): 27000, 99.99th(us): 526000
UPDATE - Takes(s): 1050.0, Count: 733760, OPS: 698.8, Avg(us): 5060, Min(us): 3070, Max(us): 2641039, 99th(us): 8000, 99.9th(us): 27000, 99.99th(us): 523000
UPDATE - Takes(s): 1060.0, Count: 741203, OPS: 699.3, Avg(us): 5058, Min(us): 3070, Max(us): 2641039, 99th(us): 8000, 99.9th(us): 26000, 99.99th(us): 523000
UPDATE - Takes(s): 1070.0, Count: 748662, OPS: 699.7, Avg(us): 5056, Min(us): 3070, Max(us): 2641039, 99th(us): 8000, 99.9th(us): 26000, 99.99th(us): 523000
UPDATE - Takes(s): 1080.0, Count: 754623, OPS: 698.7, Avg(us): 5064, Min(us): 3070, Max(us): 2641039, 99th(us): 8000, 99.9th(us): 28000, 99.99th(us): 525000
UPDATE - Takes(s): 1090.0, Count: 759099, OPS: 696.4, Avg(us): 5080, Min(us): 3070, Max(us): 2641039, 99th(us): 8000, 99.9th(us): 29000, 99.99th(us): 529000
UPDATE - Takes(s): 1100.0, Count: 765048, OPS: 695.5, Avg(us): 5079, Min(us): 3070, Max(us): 2641039, 99th(us): 8000, 99.9th(us): 28000, 99.99th(us): 529000
UPDATE - Takes(s): 1110.0, Count: 770991, OPS: 694.6, Avg(us): 5078, Min(us): 3070, Max(us): 2641039, 99th(us): 8000, 99.9th(us): 28000, 99.99th(us): 529000
UPDATE - Takes(s): 1120.0, Count: 776921, OPS: 693.7, Avg(us): 5077, Min(us): 3070, Max(us): 2641039, 99th(us): 8000, 99.9th(us): 28000, 99.99th(us): 529000
UPDATE - Takes(s): 1130.0, Count: 782864, OPS: 692.8, Avg(us): 5076, Min(us): 3070, Max(us): 2641039, 99th(us): 8000, 99.9th(us): 28000, 99.99th(us): 528000
UPDATE - Takes(s): 1140.0, Count: 788761, OPS: 691.9, Avg(us): 5076, Min(us): 3070, Max(us): 2641039, 99th(us): 8000, 99.9th(us): 28000, 99.99th(us): 528000
UPDATE - Takes(s): 1150.0, Count: 795518, OPS: 691.8, Avg(us): 5077, Min(us): 3070, Max(us): 2641039, 99th(us): 8000, 99.9th(us): 28000, 99.99th(us): 526000
UPDATE - Takes(s): 1160.0, Count: 802404, OPS: 691.7, Avg(us): 5076, Min(us): 3070, Max(us): 2641039, 99th(us): 8000, 99.9th(us): 27000, 99.99th(us): 525000
UPDATE - Takes(s): 1170.0, Count: 809316, OPS: 691.7, Avg(us): 5074, Min(us): 3070, Max(us): 2641039, 99th(us): 8000, 99.9th(us): 27000, 99.99th(us): 526000
UPDATE - Takes(s): 1180.0, Count: 816249, OPS: 691.7, Avg(us): 5072, Min(us): 3070, Max(us): 2641039, 99th(us): 8000, 99.9th(us): 27000, 99.99th(us): 525000
UPDATE - Takes(s): 1190.0, Count: 823158, OPS: 691.7, Avg(us): 5071, Min(us): 3070, Max(us): 2641039, 99th(us): 8000, 99.9th(us): 27000, 99.99th(us): 523000
UPDATE - Takes(s): 1200.0, Count: 830078, OPS: 691.7, Avg(us): 5069, Min(us): 3070, Max(us): 2641039, 99th(us): 8000, 99.9th(us): 26000, 99.99th(us): 516000
UPDATE - Takes(s): 1210.0, Count: 834592, OPS: 689.8, Avg(us): 5094, Min(us): 3070, Max(us): 2748960, 99th(us): 8000, 99.9th(us): 29000, 99.99th(us): 529000
UPDATE - Takes(s): 1220.0, Count: 842382, OPS: 690.5, Avg(us): 5093, Min(us): 3070, Max(us): 2748960, 99th(us): 8000, 99.9th(us): 29000, 99.99th(us): 529000
UPDATE - Takes(s): 1230.0, Count: 850242, OPS: 691.3, Avg(us): 5091, Min(us): 3070, Max(us): 2748960, 99th(us): 8000, 99.9th(us): 29000, 99.99th(us): 529000
UPDATE - Takes(s): 1240.0, Count: 858145, OPS: 692.1, Avg(us): 5088, Min(us): 3070, Max(us): 2748960, 99th(us): 8000, 99.9th(us): 29000, 99.99th(us): 529000
UPDATE - Takes(s): 1250.0, Count: 866063, OPS: 692.9, Avg(us): 5085, Min(us): 3070, Max(us): 2748960, 99th(us): 8000, 99.9th(us): 28000, 99.99th(us): 529000
